ACC Origin
NC_014727.1 2125193
NC_014831.1 1
NC_014829.1 4681094
NC_014828.1 1
NC_014752.1 2195361
NC_014909.2 721547
NC_014844.1 671524
NC_014837.1 4339718
NC_014833.1 3684714
NC_014922.1 624919
NC_014924.1 1532
NC_014910.1 37173
NC_014925.1 1
NC_015052.1 1504
NC_014976.1 2211513
NC_014920.1 1666426
NC_014933.1 889981
NC_015067.1 1504
NC_015138.1 45346
NC_015061.1 4830402
NC_015160.1 4391929
NC_015164.1 2648022
NC_015214.1 2077532
NC_015172.1 3406440
NC_015291.1 1958479
NC_015275.1 4712956
NC_015224.1 1
NC_015311.1 628318
NC_015379.1 6842459
NC_015389.1 3028
NC_015410.1 5433907
NC_015428.1 1
NC_015422.1 42009
NC_015501.1 660906
NC_015424.1 4536489
NC_015433.1 2028614
NC_015516.1 1890570
NC_015460.1 1314647
NC_015558.1 2143602
NC_015563.1 26812
NC_015556.1 4920282
NC_015565.1 2891685
NC_015566.1 5410189
NC_015573.1 705538
NC_015567.1 5410060
NC_015571.1 2339225
NC_015601.1 1787142
NC_015600.1 21375
NC_015589.1 254989
NC_015602.1 1631821
NC_015662.1 444359
NC_015678.1 1587209
NC_015634.1 3072571
NC_015687.1 1
NC_015663.1 1461516
NC_015697.1 1126399
NC_015735.1 118199
NC_015734.1 1855962
NC_015733.1 8091
NC_015737.1 1035467
NC_015740.1 1
NC_015738.1 1489
NC_015760.1 1470
NC_015875.1 2190520
NC_015913.1 1619377
NC_015761.1 3766944
NC_015846.1 2531769
NC_015964.1 578938
NC_015930.1 1949882
NC_015975.1 1
NC_015968.1 4766429
NC_015947.1 2896
NC_015977.1 3591584
NC_016012.1 1514928
NC_016023.1 1391308
NC_015978.1 1
NC_016010.1 1371
NC_016047.1 4206804
NC_016511.1 1602
NC_016048.1 1315
NC_016147.2 1336
NC_016077.1 2487467
NC_016512.1 1604
NC_016513.1 590367
NC_016516.1 1604
NC_016612.1 1372187
NC_016627.1 1
NC_016514.1 4705472
NC_016584.1 159
NC_016630.1 1930535
NC_016629.1 1902259
NC_016749.1 22447
NC_016803.1 2528745
NC_016784.1 4019363
NC_016791.1 1
NC_016808.1 1861345
NC_016818.1 4828078
NC_016805.3 1900017
NC_016816.1 77374
NC_016826.1 20188
NC_016845.1 5299527
NC_016893.1 718864
NC_016822.1 4231244
NC_016894.1 4044216
NC_016938.1 1845734
NC_016830.1 1
NC_016941.1 1
NC_017022.1 2954773
NC_017027.1 1857831
NC_017047.1 4928358
NC_017138.1 1
NC_017174.1 4047072
NC_017187.1 2256447
NC_017061.1 4242276
NC_017188.1 3937015
NC_017190.1 3994731
NC_017191.1 3938707
NC_017192.1 2945447
NC_017195.1 4011447
NC_017196.2 4104878
NC_017200.1 1
NC_017175.1 4167683
NC_017214.1 637534
NC_017208.1 5486338
NC_017217.1 1886
NC_017215.1 1915
NC_017216.2 1753
NC_017218.1 1543
NC_017243.1 10644
NC_017252.1 641551
NC_017267.2 3228
NC_017279.1 1324
NC_017219.1 1504
NC_017271.1 1530
NC_017281.1 1324
NC_017280.1 1324
NC_017294.1 1585768
NC_017295.1 1
NC_017309.1 3652343
NC_017304.1 3561126
NC_017353.1 1
NC_017328.1 3972555
NC_017316.1 2739162
NC_017310.1 41752
NC_017390.1 3997000
NC_017445.1 1251154
NC_017451.1 1931795
NC_017456.1 1728
NC_017452.1 1818685
NC_017470.1 1893968
NC_017467.1 2145416
NC_017465.1 2099285
NC_017469.1 1872532
NC_017473.1 3038315
NC_017481.1 1826824
NC_017482.1 3004328
NC_017474.1 3069199
NC_017490.1 1963711
NC_017486.1 114
NC_017477.1 1965668
NC_017492.1 42
NC_017501.1 2264131
NC_017491.1 2959758
NC_017512.1 2213318
NC_017505.1 669323
NC_017530.1 78345
NC_017534.1 1604
NC_017532.1 1
NC_017535.1 1748
NC_017531.2 3803154
NC_017540.1 4962605
NC_017548.1 1
NC_017550.1 996159
NC_017563.1 1551
NC_017549.1 1
NC_017567.1 2159260
NC_017554.1 77740
NC_017576.1 20250
NC_017568.1 2388618
NC_017573.1 5409737
NC_017581.1 1466
NC_017595.1 1469
NC_017618.1 2137234
NC_017582.1 21999
NC_017617.1 2037832
NC_017619.1 2096665
NC_017620.1 2177455
NC_017729.1 1
NC_017671.1 2709
NC_017743.1 4119905
NC_017834.1 1883
NC_017768.1 20578
NC_017764.1 1887602
NC_017846.2 1152822
NC_017845.1 5081727
NC_017731.1 2260989
NC_017910.1 4111285
NC_017905.1 1
NC_017927.1 1551
NC_017912.1 1
NC_017911.1 5962057
NC_017960.1 2697686
NC_017949.1 2529993
NC_017986.1 2727875
NC_017933.1 1
NC_018011.1 1660990
NC_017999.1 1591
NC_018073.1 1933386
NC_018028.1 4704777
NC_018068.1 213
NC_018017.1 215
NC_018081.1 923319
NC_018089.1 2026552
NC_018142.1 1580
NC_018106.1 6034375
NC_018079.1 4938838
NC_018080.1 1
NC_018177.1 1
NC_018419.1 973897
NC_018221.1 2986987
NC_018420.1 317059
NC_018405.1 15511
NC_018520.1 4146337
NC_018515.1 1961
NC_018508.1 5037124
NC_018500.1 4129110
NC_018525.1 4820906
NC_018604.1 1
NC_018528.1 2128569
NC_018522.1 5386016
NC_018610.1 1
NC_018607.1 1
NC_018641.1 3075050
NC_018631.1 1893009
NC_018646.1 19978
NC_018673.1 1644598
NC_018690.1 2047803
NC_018693.1 4596399
NC_018708.1 60639
NC_018664.1 3104977
NC_018712.1 1
NC_018720.1 1744
NC_019042.1 1
NC_018866.1 3069323
NC_019048.1 19937
NC_018867.1 3091418
NC_019435.1 2250126
NC_019395.1 1716
NC_019770.1 2810212
NC_019896.1 1
NC_019670.1 6182414
NC_019842.1 3960867
NC_019905.1 54313
NC_019903.1 100809
NC_020055.1 1345022
NC_019936.1 3791339
NC_020063.1 4730364
NC_020075.1 790195
NC_020064.1 4823843
NC_019908.1 1886115
NC_020207.1 2635051
NC_020164.1 2306704
NC_020134.1 2308183
NC_020181.1 3952796
NC_020209.1 4767978
NC_020260.1 3976407
NC_020229.1 243664
NC_020272.1 1
NC_020211.1 5238358
NC_020409.1 311179
NC_020410.1 3909799
NC_020517.1 1468
NC_020418.1 497325
NC_020796.1 3824788
NC_020546.1 2105380
NC_020291.1 6529669
NC_020800.1 1371
NC_020819.1 2394710
NC_020833.1 95307
NC_020815.1 1371
NC_020834.1 2520517
NC_020887.2 2954489
NC_020829.1 5461960
NC_021057.1 457453
NC_020912.1 1
NC_020995.1 3394862
NC_021064.1 593946
NC_021082.1 2524147
NC_021066.1 4138436
NC_021149.1 5366117
NC_021175.1 19551
NC_021181.2 1991134
NC_021171.1 14199
NC_021182.1 13468
NC_021184.1 12501
NC_021150.1 5322957
NC_021224.2 3035218
NC_021235.1 2063758
NC_021281.1 2260501
NC_021232.1 1
NC_021237.1 6867160
NC_021354.1 1306871
NC_021355.1 ti|224719|gi|509154128|ref|NC_021355.1|
NC_021290.1 5009163
NC_021362.1 4375767
NC_021486.1 94749
NC_021514.1 3044177
NC_021485.1 19985
NC_021494.1 1947212
NC_021500.1 3013832
NC_021591.1 5295218
NC_021659.1 5434590
NC_021723.1 2882651
NC_021725.1 2990156
NC_021721.1 3112752
NC_021739.1 1508876
NC_021738.1 1404317
NC_021743.1 1277207
NC_021744.1 1
NC_021741.1 5187969
NC_021870.1 3927084
NC_021872.1 2144989
NC_021878.1 2253005
NC_021900.1 20095
NC_022075.1 4070670
NC_021994.1 2994140
NC_022000.1 3435947
NC_022112.1 2938107
NC_022081.1 3889071
NC_021883.1 2620612
NC_022082.1 34068
NC_022124.1 43355
NC_022236.1 283940
NC_022196.1 2267510
NC_022237.1 23171
NC_022239.1 20748
NC_022238.1 20270
NC_022245.1 283940
NC_022246.1 1
NC_022240.1 617934
NC_022244.1 19666
NC_022347.1 40904
NC_022356.1 260619
NC_022541.1 1330
NC_022524.1 15104
NC_022530.1 4195674
NC_022547.1 288074
NC_022582.1 331526
NC_022532.1 1
NC_022546.1 103648
NC_022571.1 5107229
NC_022584.1 1540427
NC_022660.1 41108
NC_022653.1 3916331
NC_022737.1 1666566
NC_022759.1 1775307
NC_022592.1 2261819
NC_022738.1 5643182
NC_022777.1 53133
NC_022909.1 1886582
NC_022878.1 2988106
NC_022781.1 2621335
NC_023075.1 5570073
NC_023064.1 7011739
NC_023032.1 4342607
NC_023342.1 ti|221568|gi|575669328|ref|NC_023342.1|
NC_023073.1 3942256
NZ_AP010872.1 741364
NZ_AP012323.1 1591
NZ_AP012324.1 1468
NC_023076.1 5518682
NZ_AP012322.1 37621
NZ_AP012325.1 2043579
NZ_AP012327.1 2301945
NZ_AP012326.1 1504
NZ_AP012330.1 2279263
NZ_AP012332.1 1609
NZ_AP012333.1 112054
NZ_AP012331.1 3077659
NZ_AP013072.1 2117545
NZ_AP012541.1 2995068
NZ_AP012544.1 213660
NZ_AP014520.1 364281
NZ_AP014521.1 29586
NZ_AP014584.1 578238
NZ_AP013063.1 4671739
NZ_AP013294.1 984178
NZ_AP014627.1 6884644
NZ_AP014624.1 5498304
NZ_AP014628.1 6832298
NZ_AP014680.1 730270
NZ_AP014522.1 6827071
NZ_AP014655.1 4499323
NZ_AP014808.1 1704120
NZ_AP014926.1 164595
NZ_AP014925.1 207618
NZ_AP014928.1 3723102
NZ_AP014944.1 2393434
NZ_AP014938.1 1014535
NZ_AP014857.1 3892438
NZ_CP000574.1 1895805
NZ_CP002427.1 1870635
NZ_CP003328.1 1808174
NZ_AP014951.1 5876428
NZ_CP001974.1 1
NZ_CP001970.1 1
NZ_CP003424.1 5031591
NZ_CP004081.1 2960580
NZ_CP003923.1 69075
NZ_CP004391.1 1125
NZ_CP004057.1 3947072
NZ_CP004056.1 3921992
NZ_CP004392.1 1326287
NZ_CP004406.1 3198297
NZ_CP004887.1 705536
NZ_CP005927.1 965234
NZ_CP005970.1 3706506
NZ_CP005975.1 1807405
NZ_CP006018.1 28944
NZ_CP005960.1 3897636
NZ_CP005969.1 6094236
NZ_CP006256.1 5949628
NZ_CP006030.1 2693356
NZ_CP006568.1 4501421
NZ_CP006579.1 4512527
NZ_CP006569.1 1
NZ_CP006683.1 1895747
NZ_CP006690.1 2906973
NZ_CP006664.1 1737592
NZ_CP006580.1 92231
NZ_CP006711.1 1468
NZ_CP006704.1 32010
NZ_CP006692.1 3638351
NZ_CP006712.1 1468
NZ_CP006714.1 1468
NZ_CP006713.1 1468
NZ_CP006770.1 1869961
NZ_CP006809.1 1931854
NZ_CP006819.1 191509
NZ_CP006715.1 1468
NZ_CP006777.1 1
NZ_CP006837.1 1
NZ_CP006870.1 5264307
NZ_CP006910.1 20045
NZ_CP006857.1 1371
NZ_CP006905.1 1454622
NZ_CP006883.1 4985477
NZ_CP006944.1 20526
NZ_CP006943.1 21377
NZ_CP006929.1 4482537
NZ_CP006942.1 2342445
NZ_CP006953.1 2208745
NZ_CP006976.1 1857209
NZ_CP006999.1 1865836
NZ_CP006957.1 176905
NZ_CP007016.1 2031453
NZ_CP007012.1 5890444
NZ_CP007032.1 95778
NZ_CP007033.1 1
NZ_CP007025.1 2326473
NZ_CP007037.1 3917172
NZ_CP007039.1 1122
NZ_CP007062.1 2506958
NZ_CP007044.2 964351
NZ_CP007179.1 41039
NZ_CP007181.1 40851
NZ_CP007122.1 2783863
NZ_CP007183.1 40777
NZ_CP007166.1 2752
NZ_CP007208.1 2534261
NZ_CP007287.1 35068
NZ_CP007221.1 2750
NZ_CP007230.1 1620107
NZ_CP007436.1 3762875
NZ_CP007443.1 1501
NZ_CP007410.1 6651608
NZ_CP007441.1 623518
NZ_CP007457.1 1963448
NZ_CP007456.1 2336926
NZ_CP007452.1 15325
NZ_CP007509.1 3868280
NZ_CP007511.1 3752927
NZ_CP007502.1 1007152
NZ_CP007512.1 5144745
NZ_CP007546.1 3935255
NZ_CP007557.1 1383913
NZ_CP007566.1 5008524
NZ_CP007518.2 1153355
NZ_CP007573.1 2033737
NZ_CP007601.1 2135342
NZ_CP007576.1 5008493
NZ_CP007628.1 5260
NZ_CP007626.1 2467983
NZ_CP007646.1 1835225
NZ_CP007726.1 1324224
NZ_CP007715.1 2053941
NZ_CP007567.1 4201178
NZ_CP007739.1 14453
NZ_CP007766.1 1600278
NZ_CP007769.1 1427519
NZ_CP007770.1 1358798
NZ_CP007744.1 5004567
NZ_CP007774.1 1411843
NZ_CP007773.1 1718291
NZ_CP007771.1 1371392
NZ_CP007772.1 1647389
NZ_CP007776.1 1401248
NZ_CP007775.1 1677536
NZ_CP007778.1 1435972
NZ_CP007777.1 1407216
NZ_CP008713.1 1654274
NZ_CP008696.1 6458222
NZ_CP007810.1 4270020
NZ_CP008724.1 2469616
NZ_CP008714.1 171762
NZ_CP008747.1 2323062
NZ_CP008808.1 1800591
NZ_CP008810.1 1934855
NZ_CP008816.1 2114377
NZ_CP008788.1 6088326
NZ_CP008823.1 15501
NZ_CP008841.1 1046996
NZ_CP008855.1 2191715
NZ_CP008896.1 3879620
NZ_CP008897.1 15569
NZ_CP008905.1 15569
NZ_CP008920.1 1173882
NZ_CP008943.1 2681652
NZ_CP008984.1 1007137
NZ_CP008989.1 1371
NZ_CP008998.1 1371
NZ_CP008992.1 1371
NZ_CP008995.1 1371
NZ_CP009043.1 165017
NZ_CP009048.1 8027
NZ_CP009108.1 964944
NZ_CP009046.1 1482518
NZ_CP009159.1 2066154
NZ_CP009001.1 1371
NZ_CP009158.1 1794152
NZ_CP009226.1 1776218
NZ_CP009125.1 4991447
NZ_CP009225.1 4141011
NZ_CP009230.1 1970926
NZ_CP009237.1 1429735
NZ_CP009267.1 13183
NZ_CP009236.1 3237151
NZ_CP009240.1 636855
NZ_CP009268.1 13183
NZ_CP009364.1 3518410
NZ_CP009290.1 1
NZ_CP009367.1 3820591
NZ_CP009365.1 4987572
NZ_CP009450.1 866705
NZ_CP009451.1 2769058
NZ_CP009454.1 534454
NZ_CP009455.1 1447762
NZ_CP009456.1 1
NZ_CP009458.1 974165
NZ_CP009470.1 2297466
NZ_CP009531.1 110603
NZ_CP009460.1 2862528
NZ_CP009533.1 3634522
NZ_CP009623.1 1297405
NZ_CP009539.1 2161376
NZ_CP009459.1 958850
NZ_CP009557.1 3337737
NZ_CP009676.1 2398888
NZ_CP009687.1 14026
NZ_CP009709.1 2202698
NZ_CP009706.1 4410662
NZ_CP009692.1 491209
NZ_CP009712.1 2896197
NZ_CP009747.1 4310436
NZ_CP009756.1 4821188
NZ_CP009746.1 4052505
NZ_CP009757.1 3773987
NZ_CP009780.1 3905669
NZ_CP009762.1 2290255
NZ_CP009781.1 2685503
NZ_CP009787.1 2888938
NZ_CP009846.1 3945539
NZ_CP009801.1 2021646
NZ_CP009759.1 2392905
NZ_CP009838.1 1874407
NZ_CP009907.1 162332
NZ_CP009866.1 3605453
NZ_CP009880.1 1359838
NZ_CP009850.1 15511
NZ_CP009913.1 1470
NZ_CP009928.1 2327507
NZ_CP009920.1 2119766
NZ_CP009938.1 548590
NZ_CP009933.1 4445340
NZ_CP010049.1 665234
NZ_CP010014.1 3848674
NZ_CP009997.1 2760661
NZ_CP010048.1 646513
NZ_CP010075.1 3708419
NZ_CP010341.1 10425
NZ_CP010309.1 2453424
NZ_CP010086.2 6470700
NZ_CP010406.1 2054859
NZ_CP010412.1 71264
NZ_CP010415.1 189179
NZ_CP010359.1 5346299
NZ_CP010423.1 4081452
NZ_CP010409.1 3225961
NZ_CP010524.1 4387484
NZ_CP010432.1 1
NZ_CP010557.1 469943
NZ_CP010437.1 1501
NZ_CP010525.1 1351
NZ_CP010586.1 5123043
NZ_CP010783.1 29967
NZ_CP010820.1 24547
NZ_CP010778.1 3553686
NZ_CP010829.1 4088113
NZ_CP010888.1 501029
NZ_CP010905.1 4274149
NZ_CP010892.1 6928467
NZ_CP010896.1 6143215
NZ_CP010907.1 646275
NZ_CP010953.1 1818878
NZ_CP010995.1 164943
NZ_CP010994.1 3529793
NZ_CP010945.1 1140898
NZ_CP010993.1 3346681
NZ_CP010999.1 1506
NZ_CP011007.1 3786968
NZ_CP011010.1 1459
NZ_CP011008.1 13722
NZ_CP010997.1 3859473
NZ_CP011013.1 1638466
NZ_CP011015.1 41265
NZ_CP011020.1 6314443
NZ_CP011047.1 1007965
NZ_CP011073.1 4365995
NZ_CP011078.1 2250608
NZ_CP011024.1 1
NZ_CP011077.1 4933056
NZ_CP011110.1 6625706
NZ_CP011101.1 4068355
NZ_CP011104.1 1918091
NZ_CP011132.1 4412222
NZ_CP011150.1 3744505
NZ_CP011144.1 2107107
NZ_CP011118.1 4695415
NZ_CP011281.1 2789585
NZ_CP011254.1 1753782
NZ_CP011256.1 3988824
NZ_CP011303.1 5086123
NZ_CP011305.1 1438
NZ_CP011266.1 ti|230361|gi|970460235|ref|NZ_CP011266.1|
NZ_CP011286.1 4540899
NZ_CP011307.1 3287946
NZ_CP011306.1 1438
NZ_CP011372.1 1437907
NZ_CP011364.1 643001
NZ_CP011386.1 2083575
NZ_CP011403.1 1750604
NZ_CP011427.1 4125329
NZ_CP011359.1 3565892
NZ_CP011511.1 3820728
NZ_CP011507.1 3226669
NZ_CP011531.1 4795581
NZ_CP011566.1 6426889
NZ_CP011525.1 6169282
NZ_CP011539.1 4124864
NZ_CP011536.1 2296988
NZ_CP011567.1 6499807
NZ_CP011591.1 3101875
NZ_CP011574.1 3327594
NZ_CP011597.1 3641902
NZ_CP011602.1 4575153
NZ_CP011612.1 3180211
NZ_CP011618.1 3662917
NZ_CP011642.1 2591230
NZ_CP011657.1 2876893
NZ_CP011663.1 4142017
NZ_CP011786.1 1424885
NZ_CP011828.1 163104
NZ_CP011939.1 1091681
NZ_CP011803.1 1001553
NZ_CP011914.1 3960335
NZ_CP011955.1 3228
NZ_CP011972.1 6579017
NZ_CP011975.1 1986976
NZ_CP011974.1 14332
NZ_CP011996.1 2371820
NZ_CP011995.1 2366358
NZ_CP012009.1 717177
NZ_CP011966.1 1
NZ_CP012028.1 1496632
NZ_CP012026.1 275895
NZ_CP012024.1 14864
NZ_CP012027.1 802154
NZ_CP012034.1 1753303
NZ_CP012067.1 522372
NZ_CP012033.1 1323886
NZ_CP012068.1 1574214
NZ_CP012096.1 2321227
NZ_CP012137.1 3982656
NZ_CP012069.2 2689350
NZ_CP012097.1 49920
NZ_CP012072.1 1333485
NZ_CP012145.1 1371
NZ_CP012148.1 3075508
NZ_CP012162.1 4986927
NZ_CP012195.1 1532595
NZ_CP012187.1 2769685
NZ_CP012146.1 16944
NZ_CP012196.1 2013286
NZ_CP012253.1 3961626
NZ_CP012257.1 4272126
NZ_CP012252.1 2785724
NZ_CP012266.1 4430705
NZ_CP012264.1 4347629
NZ_CP012329.1 849606
NZ_CP012366.1 1353109
NZ_CP012381.1 2160100
NZ_CP012268.1 4050792
NZ_CP012384.1 281411
NZ_CP012475.1 2026450
NZ_CP012504.1 107036
NZ_CP012395.1 2261947
NZ_CP012487.1 5084003
NZ_CP012507.1 220219
NZ_CP012522.1 1465172
NZ_CP012541.1 1683131
NZ_CP012554.1 2826416
NZ_CP012590.1 807758
NZ_CP012559.1 2618366
NZ_CP012589.1 1776631
NZ_CP012646.1 380298
NZ_CP012675.1 3794262
NZ_CP012648.1 2278947
NZ_CP012674.1 3792279
NZ_CP012676.1 4529019
NZ_CP012639.1 2114205
NZ_CP012680.1 156877
NZ_CP012715.1 2117322
NZ_CP012713.1 107982
NZ_CP012685.1 4495626
NZ_CP012805.1 19666
NZ_CP012716.1 545298
NZ_CP012871.1 4654667
NZ_CP012889.1 2378200
NZ_CP012801.1 2255600
NZ_CP012897.1 1212120
NZ_CP012920.1 554362
NZ_CP012890.1 599010
NZ_CP012900.1 59680
NZ_CP012937.1 566524
NZ_CP012958.1 1918299
